code,genus,species,func,leaf
ABBA,Abies,balsamea,tree,needle
ACNE,Acer,negundo,tree,broad
ACPE,Acer,pensylvanicum,tree,broad
ACPL,Acer,platanoides,tree,broad
ACRU,Acer,rubrum,tree,broad
ACSM,Acer,saccharum,tree,broad
ACSN,Acer,saccharinum,tree,broad
ACSP,Acer,spicatum,tree,broad
ALIN,Alnus,incana,tree,broad
ANGE,Andropogon,gerardii,grass,broad
BEAL,Betula,alleghaniensis,tree,broad
BEGL,Betula,glandulosa,tree,broad
BEPA,Betula,papyrifera,tree,broad
BELE,Betula,lenta,tree,broad
CACO,Carya,cordiformis,tree,broad
CAOV,Carya,ovata,tree,broad
CAREX,Carex,sp.,grass,broad
CEOC,Celtis,occidentalis,tree,broad
CHCA,Chamaedaphne,calyculata,tree,broad
COAM,Corylus,americana,tree,broad
FAGR,Fagus,grandifolia,tree,broad
FRAM,Fraxinus,americana,tree,broad
FRNI,Fraxinus,nigra,tree,broad
FRPE,Fraxinus,pennsylvanica,tree,broad
GRASS,Unknown,Unknown,grass,grass
JUNI,Juglans,nigra,tree,broad
JUVI,Juniperus,virginiana,tree,needle
LALA,Larix,laricina,tree,needle
LEGR,Ledum,groenlandicum,shrub,broad
LITU,Liriodendron,tulipifera,tree,broad
LONICERA,Lonicera,sp.,shrub,broad
OSVI,Ostrya,virginiana,tree,broad
PHAR,Phalaris,arundinacea,grass,broad
PIBA,Pinus,banksiana,tree,needle
PIMA,Picea,mariana,tree,needle
PIRE,Pinus,resinosa,tree,needle
PIRU,Picea,rubens,tree,needle
PIST,Pinus,strobus,tree,needle
PISY,Pinus,sylvestris,tree,needle
PODE,Populus,delt,tree,broad
POGR,Populus,grandidentata,tree,broad
POTR,Populus,tremuloides,tree,broad
PRPE,Prunus,pensylvanica,tree,broad
PRSE,Prunus,serotina,tree,broad
QUAL,Quercus,alba,tree,broad
QUEL,Quercus,ellipsoidalis,tree,broad
QUMA,Quercus,macrocarpa,tree,broad
QURU,Quercus,rubra,tree,broad
QUPR,Quercus,prinoides,tree,broad
RHCA,Rhamnus,cathartica,tree,broad
ROPS,Robinia,pseudoacacia,tree,broad
SALIX,Salix,sp.,tree,broad
SOLIDAGO,Solidago,sp.,forb,broad
SORU,Solidago,rugosa,forb,broad
SPPE,Spartina,pectinata,grass,broad
THOC,Thuja,occidentalis,tree,needle
TIAM,Tilia,americana,tree,broad
TSCA,Tsuga,canadensis,tree,needle
TYLA,Typha,latifolia,grass,broad
ULAM,Ulmus,americana,tree,broad
NYSY,Nyssa,sylvatica,tree,broad
PIPU,Picea,pungens,tree,needle
COFL,Cornus,florida,tree,broad
PIVI,Pinus,virginiana,tree,needle
CAAL,,,,
RHMA,Rhododendron,maximum,tree,broad
HAVI,Hamamelis,virginiana,tree,broad
MAAC,Magnolia,acuminata,tree,broad
KALA,Kalmia,latifolia,tree,broad
SAAL,Salix,alba,tree,broad
PRUNUS,Prunus,sp.,tree,broad
UNKN1,,,,